,hsa-let-7b*,hsa-let-7f-2*,hsa-miR-10b*,hsa-miR-1238,hsa-miR-1245,hsa-miR-1246,hsa-miR-1258,hsa-miR-126*,hsa-miR-1262,hsa-miR-1279,hsa-miR-1282,hsa-miR-1283,hsa-miR-1290,hsa-miR-1291,hsa-miR-1299,hsa-miR-130b*,hsa-miR-132*,hsa-miR-133a,hsa-miR-133b,hsa-miR-135b,hsa-miR-136*,hsa-miR-142-3p,hsa-miR-1468,hsa-miR-154,hsa-miR-155*,hsa-miR-1825,hsa-miR-190b,hsa-miR-196a,hsa-miR-199b-5p,hsa-miR-200a,hsa-miR-204,hsa-miR-21*,hsa-miR-23a*,hsa-miR-26a-2*,hsa-miR-26b*,hsa-miR-298,hsa-miR-29b-1*,hsa-miR-29c*,hsa-miR-302a,hsa-miR-302b,hsa-miR-302d,hsa-miR-31,hsa-miR-31*,hsa-miR-330-5p,hsa-miR-335*,hsa-miR-340*,hsa-miR-34a,hsa-miR-373,hsa-miR-375,hsa-miR-376a*,hsa-miR-382,hsa-miR-450a,hsa-miR-450b-5p,hsa-miR-454*,hsa-miR-455-3p,hsa-miR-455-5p,hsa-miR-483-3p,hsa-miR-488,hsa-miR-488*,hsa-miR-489,hsa-miR-491-3p,hsa-miR-508-3p,hsa-miR-509-3p,hsa-miR-515-3p,hsa-miR-515-5p,hsa-miR-518a-5p,hsa-miR-518d-3p,hsa-miR-518d-5p,hsa-miR-519b-5p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-520d-5p,hsa-miR-520f,hsa-miR-522,hsa-miR-545*,hsa-miR-556-3p,hsa-miR-556-5p,hsa-miR-564,hsa-miR-566,hsa-miR-568,hsa-miR-576-5p,hsa-miR-578,hsa-miR-581,hsa-miR-589,hsa-miR-598,hsa-miR-601,hsa-miR-609,hsa-miR-613,hsa-miR-615-3p,hsa-miR-629,hsa-miR-644,hsa-miR-646,hsa-miR-876-3p,hsa-miR-889,hsa-miR-892b,hsa-miR-9,hsa-miR-933,hsa-miR-942,hsa-miR-96*,hsa-miR-98,
GSM1512142,1,1,64.70900858,31.32149666,75.03741659,1,18.19947569,1,1,1,4.05171592,105.0531459,31.32149666,84.6599142,1,1,1,42.72378456,18.19947569,1,42.72378456,84.6599142,1,18.19947569,18.19947569,75.03741659,1,1,1,105.0531459,1,132.3444948,1,1,18.19947569,349.9230219,1,18.19947569,1,1,4.05171592,132.3444948,226.3124404,1,1,18.19947569,42.72378456,1,1,1,18.19947569,1,53.9892755,1,158.7001907,1,105.0531459,1,132.3444948,308.5085796,84.6599142,1,1,1,226.3124404,349.9230219,42.72378456,148.378694,264.5064347,1,1,84.6599142,1,4.05171592,18.19947569,1,132.3444948,226.3124404,158.7001907,75.03741659,1,1,18.19947569,75.03741659,1,1,1,1,42.72378456,18.19947569,1,725.0910391,1,1,18.19947569,18.19947569,330.5846044,1,105.0531459,18.19947569,3
GSM1512143,36.80719733,1,76.93732126,7.796234509,19.68755958,1,1,1,1,1,1,71.02121068,1.622735939,127.4082459,19.68755958,1,1,36.80719733,26.40490944,1,71.02121068,19.68755958,1,1,19.68755958,76.93732126,1,1,7.796234509,85.60176358,1,19.68755958,1,1,1,141.0903241,1,1,1,1,1,160.6258341,402.6530029,1,1,1,1,7.796234509,1,1,1,1,60.79623451,1,248.0691134,1.622735939,85.60176358,1.622735939,80.9463775,271.5741182,101.8303146,1,1,1,325.1737369,205.0741182,32.42826501,344.241897,227.4263584,1,1,48.46258341,1,1,32.42826501,1,160.6258341,153.9840324,91.36201144,113.3129171,1,1,1.622735939,66.04313632,7.796234509,1.622735939,1,1,36.80719733,1.622735939,1.622735939,388.7623928,1.622735939,32.42826501,19.68755958,13.38250715,293.3458055,1,310.913489,13.38250715,3
GSM1512144,2.148951382,6.656101049,56.81148713,41.42445186,51.34723546,1,1,41.42445186,1,1,1,84.83484271,1,121.17755,1,1,1,103.1089133,60.22259295,1,41.42445186,151.6422784,1,1,21.17111535,55.68279314,1,1,2.148951382,84.83484271,1,123.8822688,1,15.57221163,15.57221163,80.05862726,2.148951382,28.61987607,1,1,1,118.0612488,135.5869876,41.42445186,15.57221163,15.57221163,1,1,1,1,2.148951382,2.148951382,60.22259295,1,135.5869876,2.148951382,51.34723546,1,60.22259295,130.32102,80.05862726,1,1,1,108.0011916,135.5869876,65.94399428,147.2969495,121.17755,2.148951382,1,60.22259295,1,1,15.57221163,1,139.6794566,160.1756435,60.22259295,65.94399428,1,28.61987607,21.17111535,94.30719733,70.88918017,1,1,1,1,318.2790753,2.148951382,189.7457102,15.57221163,21.17111535,46.8593899,1,166.0145377,51.34723546,147.2969495,198.993327,3
GSM1512145,1,4.59699714,74.38751192,14.92159199,46.71091516,1,1,1,1,1,1,104.4616301,14.92159199,110.9592469,35.71711153,4.59699714,1,66.23760724,4.59699714,1,46.71091516,74.38751192,1,1,56.58269781,1,1,1,1,126.1551478,1,97.49165872,1,1,4.59699714,56.58269781,14.92159199,1,1,1,35.71711153,104.4616301,205.0741182,56.58269781,1,1,1,1,14.92159199,1,1,1,56.58269781,14.92159199,134.6663489,14.92159199,1,1,66.23760724,134.6663489,90.98450906,1,1,1,147.6003337,147.6003337,35.71711153,160.6258341,147.6003337,14.92159199,1,74.38751192,4.59699714,1,35.71711153,1,205.0741182,104.4616301,66.23760724,74.38751192,1,1,14.92159199,56.58269781,74.38751192,1,1,1,4.59699714,349.9230219,25.07745472,192.0088179,14.92159199,35.71711153,1,4.59699714,141.8191134,4.59699714,177.1384652,169.5171592,3
GSM1512146,1,7.908960915,66.86725453,1,42.32912297,1,1,1,1,1,1,82.89585319,1,121.17755,1,1,1,55.60653003,7.908960915,1,42.32912297,25.82888465,1,1,34.64942803,25.82888465,1,1,1,100.0345567,1,115.2018589,1,1,1,141.4547188,42.32912297,7.908960915,1,1,1,146.127979,181.6127264,55.60653003,1,1,1,1,1,1,25.82888465,1,76.55600572,1,131.2249762,1,7.908960915,1,34.64942803,146.127979,115.2018589,1,1,1,165.5264538,234.6558627,82.89585319,190.4988084,190.4988084,1,1,64.02216397,1,1,25.82888465,1,165.5264538,215.9218303,100.0345567,91.15800763,1,1,25.82888465,70.50166826,25.82888465,1,1,1,16.76858913,152.8817922,25.82888465,283.0533842,16.76858913,25.82888465,34.64942803,7.908960915,254.4806959,1,190.4988084,100.0345567,3
GSM1512147,23.55648236,2.412059104,43.60367016,64.59056244,12.45591039,1,2.412059104,2.412059104,1,1,1,104.6751668,1,141.0903241,2.412059104,2.412059104,1,64.59056244,33.78765491,12.45591039,54.31720686,33.78765491,1,1,43.60367016,43.60367016,1,1,1,81.48355577,1,104.6751668,23.55648236,2.412059104,12.45591039,64.59056244,12.45591039,12.45591039,1,1,1,117.2607245,162.5121544,23.55648236,1,12.45591039,43.60367016,1,2.412059104,1,43.60367016,1,43.60367016,1,110.7690658,2.412059104,81.48355577,1,43.60367016,110.7690658,89.22092469,1,1,1,152.0505243,152.0505243,64.59056244,152.0505243,141.0903241,1,1,64.59056244,1,1,2.412059104,1,152.0505243,117.2607245,81.48355577,64.59056244,1,1,1,81.48355577,64.59056244,1,2.412059104,1,23.55648236,162.5121544,1,170.5903241,12.45591039,23.55648236,64.59056244,2.412059104,162.5121544,23.55648236,124.6689704,81.48355577,3
GSM1512148,1,1,65.75953289,1,53.9892755,1,1,9.05171592,1,9.05171592,1,91.15800763,21.58174452,233.3400858,1,1,1,43.23879886,21.58174452,1,104.6751668,1,1,1,91.15800763,1,1,1,1,91.15800763,1,65.75953289,9.05171592,1,1,91.15800763,1,1,1,1,1,171.7342707,283.0533842,33.1813632,21.58174452,1,1,1,43.23879886,1,1,1,91.15800763,1,136.4590086,21.58174452,9.05171592,1,53.9892755,79.02597712,91.15800763,1,1,1,136.4590086,136.4590086,65.75953289,184.8057674,261.2249762,1,1,91.15800763,21.58174452,1,43.23879886,1,306.1036702,306.1036702,65.75953289,65.75953289,1,1,1,1,65.75953289,1,1,1,43.23879886,127.6448999,1,184.8057674,1,9.05171592,53.9892755,65.75953289,162.0412297,1,233.3400858,21.58174452,3
GSM1512149,1,1,88.93446139,14.92159199,40.38060057,1,1,1,1,1,1,103.1089133,1,143.9192088,1,1,1,40.38060057,22.20662536,1,78.03979981,1,1,1,58.26906578,1,1,1,1,96.88965682,1,84.31911344,1,1,1,103.1089133,7.796234509,1,1,22.20662536,1,206.9459009,182.9132507,14.92159199,1,1,1,1,31.90014299,1,7.796234509,1,58.26906578,1,143.9192088,31.90014299,51.7628694,1,65.67421354,103.1089133,78.03979981,1,1,1,168.0278837,155.6465682,84.31911344,187.6618208,176.5810296,1,1,71.81625357,1,1,51.7628694,1,198.0960439,218.0822212,84.31911344,117.0545758,1,1,7.796234509,31.90014299,31.90014299,1,1,1,22.20662536,122.9501907,1,267.979266,31.90014299,14.92159199,1,1,239.8167302,1,150.3784557,65.67421354,3
GSM1512150,9.565538608,1,95.98212583,67.49642517,36.12797903,1,1,1,1,1,1,60.87654909,1,153.6444233,1,6.240467112,1,81.48355577,9.565538608,1,60.87654909,1,1,1,44.54647283,9.565538608,1,1,1,113.3129171,1,95.98212583,1,1,1,113.3129171,1,1,1,1,1,139.3574833,144.7075786,18.32530982,1,1,1,1,1,1,18.32530982,1,53.17969495,1,127.8815539,53.17969495,81.48355577,1,53.17969495,102.5505243,95.98212583,1,1,1,134.3796473,119.0188275,60.87654909,193.457817,193.457817,1,1,53.17969495,1,1,1,1,215.9218303,208.82102,81.48355577,107.814347,1,18.32530982,18.32530982,53.17969495,36.12797903,18.32530982,1,1,27.35104862,134.3796473,27.35104862,234.6558627,1,18.32530982,1,18.32530982,139.3574833,1,179.1151096,74.38751192,3
GSM1512151,1,1,71.02121068,44.85343184,44.85343184,1,1,1.298617731,1,1,1,86.42874166,1,100.0345567,1,1,1,122.2011439,62.2221163,1,20.00595806,44.85343184,1,1,10.43303146,81.07769304,1,1,1,100.0345567,1,106.6470448,1,1,1,94.15276454,10.43303146,28.01954242,1,1,1.298617731,122.2011439,147.9895138,44.85343184,1.298617731,10.43303146,1,1,1,1,62.2221163,1,53.9892755,1,138.6792183,1,20.00595806,1,62.2221163,116.1275024,53.9892755,1,10.43303146,1,122.2011439,112.5664919,53.9892755,138.6792183,106.6470448,1,1,75.20662536,10.43303146,1,20.00595806,1,126.5152526,152.0505243,75.20662536,35.8315062,1.298617731,10.43303146,1,112.5664919,44.85343184,1,1,1,1.298617731,385.7962345,10.43303146,183.5674452,10.43303146,28.01954242,28.01954242,1,164.0164442,20.00595806,144.3133937,199.8906101,3
