,hsa-miR-375,hsa-miR-29c*,hsa-miR-1258,hsa-miR-132*,hsa-miR-142-3p,hsa-miR-520c-3p,hsa-miR-302b,hsa-miR-204,hsa-miR-1468,hsa-miR-576-5p,hsa-miR-601,hsa-miR-609,hsa-miR-154,hsa-miR-508-3p,hsa-miR-942,hsa-miR-302d,hsa-miR-135b,hsa-miR-522,hsa-miR-488,hsa-miR-1262,hsa-miR-126*,hsa-miR-373,hsa-miR-483-3p,hsa-miR-133a,hsa-miR-190b,hsa-miR-598,hsa-miR-199b-5p,hsa-miR-1282,hsa-miR-1825,hsa-miR-130b*,hsa-miR-578,hsa-miR-520f,hsa-miR-26a-2*,hsa-miR-450a,hsa-miR-29b-1*,hsa-miR-615-3p,hsa-miR-892b,hsa-miR-1290,hsa-miR-556-3p,hsa-miR-98,hsa-miR-1238,hsa-let-7b*,hsa-miR-1299,hsa-miR-382,hsa-miR-26b*,hsa-miR-876-3p,hsa-miR-196a,hsa-miR-644,hsa-miR-1279,hsa-miR-330-5p,hsa-miR-629,hsa-miR-23a*,hsa-miR-509-3p,hsa-miR-34a,hsa-let-7f-2*,hsa-miR-581,hsa-miR-335*,hsa-miR-515-3p,hsa-miR-340*,hsa-miR-1246,hsa-miR-133b,hsa-miR-454*,hsa-miR-613,hsa-miR-302a,hsa-miR-376a*,hsa-miR-9,hsa-miR-520d-3p,hsa-miR-455-5p,hsa-miR-515-5p,hsa-miR-31*,hsa-miR-488*,hsa-miR-200a,hsa-miR-489,hsa-miR-1283,hsa-miR-566,hsa-miR-455-3p,hsa-miR-646,hsa-miR-519b-5p,hsa-miR-1245,hsa-miR-1291,hsa-miR-155*,hsa-miR-31,hsa-miR-518a-5p,hsa-miR-21*,hsa-miR-564,hsa-miR-933,hsa-miR-589,hsa-miR-545*,hsa-miR-520d-5p,hsa-miR-518d-5p,hsa-miR-96*,hsa-miR-136*,hsa-miR-491-3p,hsa-miR-568,hsa-miR-450b-5p,hsa-miR-556-5p,hsa-miR-10b*,hsa-miR-298,hsa-miR-889,hsa-miR-518d-3p,SD
GSM1512142,1.0,4.26299500845019,4.26299500845019,1.0,6.420548327062661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.26299500845019,1.0,1.0,2.3367735123775297,1.0,2.3367735123775297,1.0,1.0,1.0,1.0,6.72864360656034,5.45034637534916,1.0,1.0,1.0,2.3367735123775297,6.24863761140684,1.0,1.0,1.0,1.0,1.0,1.0,5.45034637534916,4.26299500845019,5.0144220991022905,1.0,4.26299500845019,5.0144220991022905,1.0,1.0,4.26299500845019,4.26299500845019,1.0,1.0,1.0,1.0,1.0,4.26299500845019,1.0,1.0,5.45034637534916,1.0,4.26299500845019,1.0,1.0,4.26299500845019,1.0,4.26299500845019,1.0,1.0,1.0,1.0,4.26299500845019,1.0,1.0,7.8285328321894205,7.8285328321894205,7.05901445344355,6.72864360656034,8.27383559137845,6.72864360656034,7.31922222526514,7.31922222526514,9.50400663802851,8.05260301576568,6.24863761140684,6.420548327062661,4.26299500845019,7.05901445344355,8.45501078696328,7.05901445344355,7.8285328321894205,8.37323321328089,6.24863761140684,4.26299500845019,6.420548327062661,7.22283057985279,6.72864360656034,5.45034637534916,6.420548327062661,6.24863761140684,5.781078373676849,7.05901445344355,6.0380192697385295,8.45501078696328,1.0,5.45034637534916,3.0
GSM1512143,1.0,1.0,1.0,1.0,4.370691561762951,1.0,1.0,1.0,1.0,1.0,1.3910725622074198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3910725622074198,1.0,1.0,3.1368860671830396,6.4363244995416,5.24058900033586,1.0,3.1368860671830396,3.1368860671830396,1.0,6.28424244118355,1.0,1.0,1.0,1.0,1.0,1.0,5.24058900033586,4.370691561762951,1.3910725622074198,1.0,3.84624328231911,3.1368860671830396,5.24058900033586,4.370691561762951,1.0,1.0,1.3910725622074198,1.0,1.3910725622074198,1.0,1.0,1.3910725622074198,1.0,1.0,1.0,1.0,1.3910725622074198,1.0,1.0,1.0,1.0,4.77636246217094,1.0,1.0,1.0,1.0,3.84624328231911,1.0,1.3910725622074198,8.34949681250662,8.65697181417042,6.3566082702243305,6.4363244995416,8.090504769829769,6.17034994639211,6.52922768704351,7.96040231650227,8.6064510850438,7.83558532444607,4.370691561762951,7.00459403971984,4.370691561762951,7.336514005123969,7.68701951129802,4.370691561762951,7.27597577582919,8.201368258813309,6.06701773568288,5.06299657319222,5.628265687940369,8.431463743881219,8.28500213457594,6.17034994639211,6.68412182664024,6.83684462380124,5.94944702655655,7.336514005123969,6.28424244118355,7.1506645047478905,5.06299657319222,5.06299657319222,3.0
GSM1512144,1.0,4.88849369926934,1.0,1.0,7.25401080063756,1.6548714832627902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.7100414430565705,1.0,1.0,1.0,1.0,1.0,5.4068241146089004,1.0,5.7100414430565705,6.7019497802489605,1.0,6.16770274608446,1.6548714832627902,1.0,5.82483894612038,1.0,4.88849369926934,1.0,4.05069424389919,1.6548714832627902,1.6548714832627902,1.0,5.58073010075135,1.0,1.0,7.64380805345165,5.4068241146089004,1.6548714832627902,1.0,1.6548714832627902,4.05069424389919,4.05069424389919,1.0,1.6548714832627902,1.0,5.4068241146089004,8.318674195391411,1.0,1.0,1.0,2.93660987135073,4.47060944377724,4.05069424389919,1.0,4.05069424389919,1.0,5.93599224326236,1.0,1.0,1.0,1.0,1.0,1.0,1.6548714832627902,6.76820009639173,7.0936762369521205,5.93599224326236,6.42349149087664,7.03695405057976,6.42349149087664,5.93599224326236,7.0936762369521205,7.575506801525071,6.932835405543781,5.7100414430565705,6.932835405543781,4.47060944377724,6.8955601213558495,7.0936762369521205,6.9644248426193895,7.33248993328891,7.38382987663487,6.57451326138586,4.05069424389919,5.93599224326236,7.21234511132663,7.21234511132663,5.4068241146089004,6.34089383822228,6.06488272831442,5.93599224326236,7.136267857189231,5.85328427928991,6.34089383822228,4.47060944377724,6.06488272831442,3.0
GSM1512145,3.99291269215389,1.0,1.0,1.0,6.236253653086389,3.99291269215389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.48465301053348,5.19838066384462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.07119647971712,1.0,6.236253653086389,1.0,1.0,1.0,2.48465301053348,1.0,2.48465301053348,1.0,1.0,3.99291269215389,2.48465301053348,1.0,3.99291269215389,1.0,7.4137731152243305,3.99291269215389,1.0,5.19838066384462,1.0,2.48465301053348,3.99291269215389,1.0,4.70473115762993,1.0,5.84756347715328,8.45501078696328,1.0,1.0,1.0,2.48465301053348,3.99291269215389,1.0,1.0,1.0,1.0,2.48465301053348,3.99291269215389,1.0,1.0,1.0,2.48465301053348,1.0,3.99291269215389,7.21529354540086,7.68701951129802,6.07119647971712,6.990446059629691,7.08391910437361,6.720574391235401,6.07119647971712,7.08391910437361,7.59252295048049,7.21529354540086,5.576247454320691,6.8068298774637,5.84756347715328,6.720574391235401,7.21529354540086,6.62192964247309,6.720574391235401,7.158045257111991,5.84756347715328,5.19838066384462,6.236253653086389,7.336514005123969,7.47685525905834,5.576247454320691,6.5233190149259,6.236253653086389,5.84756347715328,7.68701951129802,6.236253653086389,5.84756347715328,5.19838066384462,5.19838066384462,3.0
GSM1512146,1.0,3.1552571747107296,1.0,1.0,4.74571517395986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1552571747107296,5.822896584313621,1.0,4.74571517395986,1.0,1.0,4.74571517395986,1.0,1.0,1.0,1.0,1.0,5.43726513002848,4.151257227240991,5.15580702471495,1.0,1.0,6.65870501000792,1.0,1.0,1.0,4.74571517395986,1.0,4.151257227240991,1.0,4.74571517395986,1.0,5.822896584313621,7.265678727114789,1.0,1.0,1.0,3.1552571747107296,4.74571517395986,1.0,1.0,1.0,1.0,3.1552571747107296,1.0,1.0,1.0,1.0,3.1552571747107296,1.0,1.0,7.379607566678191,7.5126435009587595,5.15580702471495,6.65870501000792,7.2009278165593695,6.39052759768507,6.65870501000792,7.0468509054743,8.15001828106439,7.58119160479305,5.43726513002848,6.932835405543781,5.15580702471495,7.2009278165593695,7.880537763268889,6.86048933772853,7.761031438177941,7.99707047513926,6.159904997790299,4.74571517395986,6.02285966532408,7.58119160479305,7.58119160479305,5.43726513002848,6.86048933772853,6.526037622286201,6.27716659874032,7.379607566678191,6.084643747085679,7.15435960137404,4.74571517395986,6.39052759768507,3.0
GSM1512147,1.7706426373681499,3.7501680979583196,1.7706426373681499,1.0,5.12050352280332,1.0,1.0,1.0,1.0,1.0,1.0,1.7706426373681499,1.0,1.0,4.618032008802019,1.0,3.7501680979583196,1.0,1.0,1.0,1.7706426373681499,1.0,6.3660346218365005,6.0354163411254795,1.0,6.0354163411254795,1.0,1.0,5.47909052036438,1.7706426373681499,1.0,1.0,1.7706426373681499,1.0,3.7501680979583196,4.618032008802019,6.0354163411254795,1.0,1.0,6.3660346218365005,6.0354163411254795,4.618032008802019,1.7706426373681499,5.47909052036438,3.7501680979583196,3.7501680979583196,1.0,1.0,1.0,4.618032008802019,7.35325406978474,4.618032008802019,1.0,5.47909052036438,1.7706426373681499,1.0,1.0,1.0,3.7501680979583196,1.0,5.12050352280332,1.0,1.0,1.0,1.0,1.7706426373681499,1.0,1.7706426373681499,7.257864176839661,7.35325406978474,5.47909052036438,6.3660346218365005,6.8043771401001,6.7234925793267095,6.3660346218365005,6.8043771401001,7.42282439199144,7.1506645047478905,3.7501680979583196,7.1506645047478905,5.47909052036438,6.88582721039137,7.257864176839661,6.7234925793267095,6.88582721039137,7.35325406978474,6.3660346218365005,1.7706426373681499,6.0354163411254795,7.257864176839661,6.9734846599283395,5.78965640699834,6.49539016745362,6.0354163411254795,5.47909052036438,7.257864176839661,5.47909052036438,6.0354163411254795,4.618032008802019,6.0354163411254795,3.0
GSM1512148,5.46724030997521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3293698985764504,1.0,3.3293698985764504,5.46724030997521,1.0,6.06090195522541,1.0,1.0,1.0,1.0,1.0,4.49708503862157,1.0,1.0,1.0,5.46724030997521,5.781078373676849,4.49708503862157,1.0,4.49708503862157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3293698985764504,5.09513802972067,7.00725045263869,3.3293698985764504,1.0,1.0,1.0,1.0,4.49708503862157,1.0,1.0,1.0,4.49708503862157,1.0,1.0,1.0,1.0,6.06090195522541,1.0,4.49708503862157,7.102857649093091,8.15001828106439,5.781078373676849,6.526037622286201,6.32239648212304,6.526037622286201,6.06090195522541,7.102857649093091,7.53765147335881,8.03466129457086,5.781078373676849,7.87245994994378,6.526037622286201,7.43241053357913,7.102857649093091,6.06090195522541,8.26258194385894,7.34909302761902,1.0,5.46724030997521,6.526037622286201,7.53765147335881,7.87245994994378,6.7234925793267095,6.526037622286201,6.06090195522541,6.526037622286201,8.26258194385894,6.06090195522541,6.526037622286201,3.3293698985764504,6.06090195522541,3.0
GSM1512149,5.040021949076321,1.0,1.0,1.0,1.0,1.0,4.536464840302941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.7214511196092,5.3708826785355805,1.0,5.040021949076321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1368860671830396,4.536464840302941,1.0,1.0,1.0,6.05905699736122,3.99291269215389,1.0,1.0,3.1368860671830396,1.0,5.040021949076321,1.0,1.0,1.0,3.99291269215389,6.95361668081802,1.0,1.0,1.0,1.0,3.1368860671830396,1.0,1.0,1.0,1.0,4.536464840302941,1.0,1.0,1.0,1.0,1.0,1.0,5.040021949076321,7.401117450231579,7.52288161748811,6.05905699736122,6.61308452526986,6.7019497802489605,6.7019497802489605,6.41479706944582,7.1791050241713,8.07135115812596,7.472333661306241,5.3708826785355805,7.1791050241713,5.88920741230206,7.70006443614621,7.291369353386821,6.41479706944582,7.77532860232146,7.91179181334301,5.040021949076321,5.7214511196092,6.18618861025063,7.5596586862931,7.24201608422346,6.30450738779318,6.30450738779318,6.88331015134153,5.88920741230206,7.637320744321059,6.490802133316981,6.7019497802489605,3.99291269215389,6.41479706944582,3.0
GSM1512150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.27241963825842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.3660346218365005,6.3660346218365005,1.0,5.21443488266961,1.0,1.0,3.40129440946586,2.8560827744393396,4.27241963825842,1.0,1.0,1.0,1.0,4.8253301919912195,1.0,1.0,1.0,6.236253653086389,6.0979567906379994,3.40129440946586,1.0,4.27241963825842,1.0,1.0,1.0,4.8253301919912195,1.0,4.27241963825842,7.0808670531601905,1.0,1.0,1.0,1.0,4.27241963825842,1.0,1.0,1.0,1.0,3.40129440946586,1.0,1.0,1.0,1.0,4.27241963825842,1.0,5.759680365589321,7.0808670531601905,7.186932107151691,5.759680365589321,6.83684462380124,6.69419104804677,5.95132083353644,6.3660346218365005,7.00990198333213,7.880537763268889,7.60331342053789,5.21443488266961,7.272810998484809,5.50926742931651,7.13296217440886,6.907116930694151,6.59964697257278,7.71301540501449,7.13296217440886,5.759680365589321,1.0,5.759680365589321,7.60331342053789,7.49277540172763,5.95132083353644,6.59964697257278,6.765724975969309,5.759680365589321,7.761031438177941,6.59964697257278,6.83684462380124,4.27241963825842,5.95132083353644,3.0
GSM1512151,1.0,4.85895286606316,1.0,1.0,5.51895780936778,1.0,1.0,1.0,1.0,1.2007665602509,1.0,1.0,1.0,1.0,4.39272668203959,1.2007665602509,1.0,1.0,1.0,1.0,1.2007665602509,1.0,4.39272668203959,6.94487184102829,1.0,5.51895780936778,1.0,1.0,6.35891827653257,1.0,3.5151360787062402,3.5151360787062402,1.0,1.0,3.5151360787062402,1.2007665602509,4.85895286606316,1.0,1.0,7.65026632189592,5.51895780936778,1.0,1.0,5.982357423777571,1.0,3.5151360787062402,1.0,3.5151360787062402,1.0,5.51895780936778,8.59542993987743,1.0,3.5151360787062402,1.0,1.0,1.0,1.2007665602509,1.0,3.5151360787062402,1.0,5.982357423777571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.94487184102829,7.2190669840788795,5.982357423777571,6.65870501000792,6.87193606080971,6.45003572969157,6.2518445251322605,7.12597357998681,7.528004296440081,6.750164903976519,5.51895780936778,6.65870501000792,3.5151360787062402,6.94487184102829,6.827393416336401,6.750164903976519,7.257864176839661,7.36646598869238,6.827393416336401,4.39272668203959,6.2518445251322605,7.12597357998681,7.1830238737092005,4.39272668203959,5.781078373676849,5.20286849138753,5.781078373676849,6.994526013598349,6.17034994639211,6.572173667626379,4.85895286606316,5.781078373676849,3.0
